symbol,trending_scale,pnl,trades,sell_trades,trending_sell_trades,trending_sell_pnl,final_capital
SOL/USDT,0.0,-28.650479679299995,5,1,0,0.0,971.3495203207001
SOL/USDT,0.25,-40.669252076774995,7,2,2,4.756308864150001,959.3307479232251
SOL/USDT,0.5,-33.49212203484997,7,2,2,9.512617728300011,966.5078779651501
SOL/USDT,0.75,-26.31499199292501,7,2,2,14.268926592450017,973.6850080070751
SOL/USDT,1.0,-19.137861950999984,7,2,2,19.025235456600022,980.8621380490001
ETH/USDT,0.0,-25.736593112300007,2,0,0,0.0,974.2634068877
ETH/USDT,0.25,-6.434148278075002,2,0,0,0.0,993.565851721925
ETH/USDT,0.5,-12.868296556150003,2,0,0,0.0,987.1317034438499
ETH/USDT,0.75,-19.302444834225007,2,0,0,0.0,980.6975551657749
ETH/USDT,1.0,-25.736593112300007,2,0,0,0.0,974.2634068877
